Season,Team,Lge,GP,G,A,Pts,PIM,+/-,GP_playoffs,G_playoffs,A_playoffs,Pts_playoffs,PIM_playoffs,player_name,position,Min,GA,EN,SO,GAA,W,L,T,Svs,Pct
1999-00,Calgary Flames,NHL,2,0,0,0,0,-1,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Saint John Flames,AHL,76,29,29,58,65,-11,3,0,0,0,4,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Calgary Flames,NHL,5,0,0,0,6,-3,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Saint John Flames,AHL,70,23,29,52,129,10,19,2,3,5,22,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,New York Rangers,NHL,10,0,0,0,0,-2,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Hartford Wolf Pack,AHL,61,35,36,71,36,27,10,2,5,7,4,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Hartford Wolf Pack,AHL,9,8,6,14,6,4,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,New York Rangers,NHL,36,2,4,6,6,-1,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Pittsburgh Penguins,NHL,27,5,8,13,10,-6,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Pittsburgh Penguins,NHL,73,16,18,34,54,-46,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Asiago HC,Italy-A,35,18,20,38,36,--,,,,,,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Pittsburgh Penguins,NHL,20,0,0,0,10,-5,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Wilkes-Barre/Scranton Penguins,AHL,25,8,10,18,39,7,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Atlanta Thrashers,NHL,6,0,1,1,4,-2,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Washington Capitals,NHL,21,3,3,6,8,3,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Washington Capitals,NHL,10,1,1,2,2,3,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Mannheim Eagles,DEL,29,8,10,18,12,-10,11,2,4,6,8,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Mannheim Eagles,DEL,53,7,14,21,67,-10,5,0,2,2,2,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Biel HC,Swiss-A,45,18,19,37,44,-5,,,,,,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Biel HC,Swiss-A,41,15,16,31,28,-11,,,,,,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Biel HC,Swiss-A,47,13,21,34,16,-18,,,,,,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Lausanne HC,Swiss-B,1,0,0,0,0,--,,,,,,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Geneve Servette,Swiss-A,50,17,16,33,26,-6,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Geneve Servette,Swiss-A,41,8,16,24,20,3,1,0,0,0,2,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,HIFK Helsinki,SM-liiga,10,2,1,3,2,-2,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Guelph Storm,OHL,61,16,28,44,26,--,18,7,7,14,11,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Guelph Storm,OHL,57,16,35,51,29,--,12,7,6,13,8,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,New York Rangers,NHL,73,8,8,16,13,-2,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,New York Rangers,NHL,27,0,0,0,4,-6,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Guelph Storm,OHL,5,2,2,4,4,3,6,0,2,2,4,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Hartford Wolf Pack,AHL,12,1,5,6,2,0,23,1,2,3,10,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,New York Rangers,NHL,50,4,8,12,31,-10,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Hartford Wolf Pack,AHL,28,5,6,11,69,5,5,0,0,0,0,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,New York Rangers,NHL,56,7,6,13,42,-1,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Dallas Stars,NHL,16,1,0,1,5,-3,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Dallas Stars,NHL,59,3,7,10,42,-2,5,1,0,1,0,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Dallas Stars,NHL,9,0,0,0,4,-2,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Columbus Blue Jackets,NHL,56,12,13,25,24,-5,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,HV71 Jonkoping,SEL,20,5,2,7,16,-6,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Columbus Blue Jackets,NHL,58,10,21,31,41,1,--,--,--,--,--,Manny Malhotra,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
